latitude,longitude,altitude,geometry,id,name,coordinates,totalDocks,docksAvailable,bikesAvailable,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,rewardBikesAvailable,rewardDocksAvailable,kioskStatus,kioskPublicStatus,kioskConnectionStatus,kioskType,addressStreet,addressCity,addressState,addressZipCode,bikes,closeTime,eventEnd,eventStart,isEventBased,isVirtual,kioskId,notes,openTime,publicText,timeZone,trikesAvailable
39.88994,-75.17679,,Point,,3183,15th & Kitty Hawk,20,15,5,4,0,1,5,15,FullService,Active,Active,1,S. 15th & Kitty Hawk Ave,Philadelphia,PA,19112,2|false|true|null|7|false|true|null|15|false|true|null|16|false|true|null|18|true|true|0.8,,,,false,false,3183,,,,,0
39.94573,-75.19551,,Point,,3184,Health Sciences Drive,32,27,4,4,0,0,5,27,FullService,Active,Active,1,Health Sciences Drive,Philadelphia,PA,19104,1|false|true|null|4|false|true|null|5|false|false|null|6|false|true|null|7|false|true|null,,,,false,false,3184,,,,,0
39.95169,-75.15888,,Point,,3185,11th & Market ,21,10,7,4,0,3,9,12,FullService,Active,Active,1,11th & Market,Philadelphia,PA,19107,2|false|false|null|4|false|true|null|5|false|true|null|8|false|true|null|9|false|false|null|11|true|true|0.8|14|true|true|0.8|16|true|true|0.8|17|false|false|null|19|false|false|null|20|false|true|null,,,,false,false,3185,,,,,0
39.89307,-75.17168,,Point,,3186,12th & Normandy,15,10,5,5,0,0,5,10,FullService,Active,Active,1,12th & Normandy Place,Philadelphia,PA,19112,4|false|true|null|8|false|true|null|9|false|true|null|13|false|true|null|15|false|true|null,,,,false,false,3186,,,,,0
39.95725,-75.17232,,Point,,3187,20th & Race,19,12,7,6,0,1,7,12,FullService,Active,Active,1,20th & Race,Philadelphia,PA,19103,1|false|true|null|3|false|true|null|8|true|true|0.8|11|false|true|null|16|false|true|null|17|false|true|null|18|false|true|null,,,,false,false,3187,,,,,0
39.90471,-75.1734,,Point,,3188,"Broad & Pattison, BSL",30,15,13,12,0,1,14,16,FullService,Active,Active,1,3701 Broad Street,Philadelphia,PA,19148,1|false|false|null|2|false|true|null|3|false|false|null|4|false|true|null|5|false|true|null|6|false|true|null|7|false|true|null|8|false|true|null|10|false|true|null|12|false|true|null|13|true|true|0.8|15|false|true|null|17|false|true|null|18|false|true|null|20|false|true|null,,,,false,false,3188,,,,,0
39.94892,-75.16991,,Point,,3190,17th & Locust,20,6,12,12,0,0,12,8,FullService,Active,Active,1,1700 Locust Street,Philadelphia,PA,19103,1|false|true|null|2|false|true|null|3|false|false|null|4|false|true|null|7|false|true|null|8|false|false|null|9|false|true|null|10|false|true|null|13|false|true|null|14|false|true|null|16|false|true|null|17|false|true|null|18|false|true|null|20|false|true|null,,,,false,false,3190,,,,,0
39.96207,-75.14111,,Point,,3192,2nd & Fairmount,20,1,9,7,0,2,9,11,FullService,Active,Active,1,703 N 2nd St.,Philadelphia,PA,19125,1|true|true|0.8|2|false|false|null|4|false|false|null|5|false|true|null|6|false|false|null|7|true|true|0.8|8|false|false|null|9|false|true|null|10|false|false|null|11|false|true|null|12|false|false|null|13|false|true|null|14|false|false|null|15|false|true|null|16|false|false|null|17|false|true|null|18|false|false|null|19|false|true|null|20|false|false|null,,,,false,false,3192,,,,,0
39.98717,-75.17477,,Point,,3196,25th & Diamond,17,13,4,3,0,1,4,13,FullService,Active,Active,1,2501 Diamond Street,Philadelphia,PA,19121,10|false|true|null|15|false|true|null|16|true|true|0.8|17|false|true|null,,,,false,false,3196,,,,,0
39.92083,-75.17033,,Point,,3197,Broad & Ritner,23,8,14,11,0,3,14,9,FullService,Active,Active,1,2301 S Broad St.,Philadelphia,PA,19148,4|false|true|null|8|false|true|null|10|false|true|null|11|false|true|null|12|true|true|0.8|13|false|true|null|14|false|true|null|16|false|true|null|17|false|false|null|18|true|true|0.8|19|true|true|0.8|20|false|true|null|21|false|true|null|22|false|true|null|23|false|true|null,,,,false,false,3197,,,,,0
